feature_id,角色域,一级功能,二级功能,三级功能,四级功能,功能点,功能说明,优先级,验收要点,备注,是否有原型,开发是否已实现,版本
API-003-01,API 与开放能力,调用记录,使用记录,请求日志,展示核心数据,展示核心数据,客户管理员查看 API 调用记录、费用、状态码和 request_id：展示核心数据。,P1,用户可以完成“展示核心数据”，且结果符合业务规则。,需补充详细规则,/,否,v2.0
API-003-02,API 与开放能力,调用记录,使用记录,请求日志,支持搜索筛选,支持搜索筛选,客户管理员查看 API 调用记录、费用、状态码和 request_id：支持搜索筛选。,P1,用户可以完成“支持搜索筛选”，且结果符合业务规则。,需补充详细规则,/,否,v2.0
API-003-03,API 与开放能力,调用记录,使用记录,请求日志,查看详情或下钻,查看详情或下钻,客户管理员查看 API 调用记录、费用、状态码和 request_id：查看详情或下钻。,P1,用户可以完成“查看详情或下钻”，且结果符合业务规则。,需补充详细规则,/,否,v2.0
API-003-04,API 与开放能力,调用记录,使用记录,请求日志,展示状态与异常,展示状态与异常,客户管理员查看 API 调用记录、费用、状态码和 request_id：展示状态与异常。,P1,用户可以完成“展示状态与异常”，且结果符合业务规则。,需补充详细规则,/,否,v2.0
API-003-05,API 与开放能力,调用记录,使用记录,请求日志,处理空状态和加载失败,处理空状态和加载失败,客户管理员查看 API 调用记录、费用、状态码和 request_id：处理空状态和加载失败。,P1,用户可以完成“处理空状态和加载失败”，且结果符合业务规则。,需补充详细规则,/,否,v2.0
API-004-01,API 与开放能力,服务目录,模型与服务,服务价格,查看当前配置,查看当前配置,客户管理员查看可调用服务目录、Endpoint 和计费单价：查看当前配置。,P1,用户可以完成“查看当前配置”，且结果符合业务规则。,需补充详细规则,/,否,v2.0
API-004-02,API 与开放能力,服务目录,模型与服务,服务价格,新增或编辑配置,新增或编辑配置,客户管理员查看可调用服务目录、Endpoint 和计费单价：新增或编辑配置。,P1,用户可以完成“新增或编辑配置”，且结果符合业务规则。,需补充详细规则,/,否,v2.0
API-004-03,API 与开放能力,服务目录,模型与服务,服务价格,校验配置有效性,校验配置有效性,客户管理员查看可调用服务目录、Endpoint 和计费单价：校验配置有效性。,P1,用户可以完成“校验配置有效性”，且结果符合业务规则。,需补充详细规则,/,否,v2.0
API-004-04,API 与开放能力,服务目录,模型与服务,服务价格,保存并生效,保存并生效,客户管理员查看可调用服务目录、Endpoint 和计费单价：保存并生效。,P1,用户可以完成“保存并生效”，且结果符合业务规则。,需补充详细规则,/,否,v2.0
API-004-05,API 与开放能力,服务目录,模型与服务,服务价格,记录配置变更,记录配置变更,客户管理员查看可调用服务目录、Endpoint 和计费单价：记录配置变更。,P1,用户可以完成“记录配置变更”，且结果符合业务规则。,需补充详细规则,/,否,v2.0
API-005-01,API 与开放能力,渠道状态,服务渠道,可用性状态,展示功能入口,展示功能入口,客户管理员查看对客 API 渠道和底层服务状态：展示功能入口。,P2,用户可以完成“展示功能入口”，且结果符合业务规则。,需补充详细规则,/,否,v2.0
API-005-02,API 与开放能力,渠道状态,服务渠道,可用性状态,展示核心信息,展示核心信息,客户管理员查看对客 API 渠道和底层服务状态：展示核心信息。,P2,用户可以完成“展示核心信息”，且结果符合业务规则。,需补充详细规则,/,否,v2.0
API-005-03,API 与开放能力,渠道状态,服务渠道,可用性状态,执行主要操作,执行主要操作,客户管理员查看对客 API 渠道和底层服务状态：执行主要操作。,P2,用户可以完成“执行主要操作”，且结果符合业务规则。,需补充详细规则,/,否,v2.0
API-005-04,API 与开放能力,渠道状态,服务渠道,可用性状态,保存操作结果,保存操作结果,客户管理员查看对客 API 渠道和底层服务状态：保存操作结果。,P2,用户可以完成“保存操作结果”，且结果符合业务规则。,需补充详细规则,/,否,v2.0
API-005-05,API 与开放能力,渠道状态,服务渠道,可用性状态,处理异常反馈,处理异常反馈,客户管理员查看对客 API 渠道和底层服务状态：处理异常反馈。,P2,用户可以完成“处理异常反馈”，且结果符合业务规则。,需补充详细规则,/,否,v2.0
API-006-01,API 与开放能力,计费扣费,外呼按次计费,余额扣减,展示核心数据,展示核心数据,系统按 API 调用次数生成扣费流水并校验余额不足：展示核心数据。,P1,用户可以完成“展示核心数据”，且结果符合业务规则。,需补充详细规则,/,否,v2.0
API-006-02,API 与开放能力,计费扣费,外呼按次计费,余额扣减,支持搜索筛选,支持搜索筛选,系统按 API 调用次数生成扣费流水并校验余额不足：支持搜索筛选。,P1,用户可以完成“支持搜索筛选”，且结果符合业务规则。,需补充详细规则,/,否,v2.0
API-006-03,API 与开放能力,计费扣费,外呼按次计费,余额扣减,查看详情或下钻,查看详情或下钻,系统按 API 调用次数生成扣费流水并校验余额不足：查看详情或下钻。,P1,用户可以完成“查看详情或下钻”，且结果符合业务规则。,需补充详细规则,/,否,v2.0
API-006-04,API 与开放能力,计费扣费,外呼按次计费,余额扣减,展示状态与异常,展示状态与异常,系统按 API 调用次数生成扣费流水并校验余额不足：展示状态与异常。,P1,用户可以完成“展示状态与异常”，且结果符合业务规则。,需补充详细规则,/,否,v2.0
API-006-05,API 与开放能力,计费扣费,外呼按次计费,余额扣减,处理空状态和加载失败,处理空状态和加载失败,系统按 API 调用次数生成扣费流水并校验余额不足：处理空状态和加载失败。,P1,用户可以完成“处理空状态和加载失败”，且结果符合业务规则。,需补充详细规则,/,否,v2.0
