韩文程的会议室-说话人01(00:00:00): 两个地方我觉得可以明显一点。
韩文程的会议室-说话人03(00:17:20): 如果那种极端情况，他用了28天，然后他退两，剩下两两两天的钱退不了，好像那个火山，他如果你在那里买是可以退，他有一个比例退，要是我们需不需要提供这个我们。

韩文程的会议室-说话人01(00:17:35): 我们说提供别的事。

韩文程的会议室-说话人02(00:17:36): 行。

韩文程的会议室-说话人01(00:17:37): 还有一个问题是啥？我为什么说这个事咱以后的客户比方说有没有可能直接签一年或者付一年的合同？

韩文程的会议室-说话人02(00:17:46): 今年。等于这一年我的佣金最后。

韩文程的会议室-说话人01(00:17:50): 最后还是按当月算，按月给他给销售发对按月给销售发你就可以监测他的这个年度账单的状态，比方说客户定了一年。

韩文程的会议室-说话人02(00:17:54): 点到销售。还有什么？

韩文程的会议室-说话人01(00:18:02): 我们给他设定的客户是12个月。我现在这么说，咱们现在系统里面可能没有，但是我觉得给你再给你讲一下这个状态，然后这一年里面你是按月，如果你是监控这个客户的状态，如果这个客户当月续订了，然后你就把佣金给他当月如果不续订你这个状态改变了当月有个计算佣金。

韩文程的会议室-说话人02(00:18:23): 你像说他买一年怎么说，买一年这个钱怎么给，比如说我就买了一年，他其实这个东西是到一年之后才有效。

韩文程的会议室-说话人03(00:18:32): 对这你要看到时候咱这边给一个销售佣金是怎么打？

韩文程的会议室-说话人01(00:18:37): 你看现在你们佣金监测的状态是来自于客户的哪里？

韩文程的会议室-说话人02(00:18:43): 客户来了哪里？

韩文程的会议室-说话人01(00:18:43): 你现在佣金的状态监测就是你监测。

韩文程的会议室-说话人02(00:18:46): 你监测是什么时候产生原因吧，哪个值？

韩文程的会议室-说话人01(00:18:48): 哪个值对。

韩文程的会议室-说话人02(00:18:49): 我现在相当于。

韩文程的会议室-说话人03(00:18:51): 付款的。

韩文程的会议室-说话人02(00:18:51): 运不是，是运维？给他开通了，就相当于是我们他支付了支付，现在是支付宝。

韩文程的会议室-说话人01(00:18:58): 你你得坚持一个状态！

韩文程的会议室-说话人02(00:18:59): 接下来就是交给，然后假如他的理解是交付运维。你给叫个你给李姐说，你帮我在火车上开10个席位。然后李伟这边把10个席位在网上买完之后，然后没有问题，你们就他点你，然后进来就是李伟那边要检，我已开通，我在网上开通了嘛，对。我现在今天他给你开动的时候。

韩文程的会议室-说话人03(00:19:18): 你你那个状态其实很难算的是。

韩文程的会议室-说话人01(00:19:22): 我想个办法，你完全不用改，啥都不用改，为啥，他监测的是后台席位的状态。

韩文程的会议室-说话人02(00:19:29): 我运维人员开得起我才给你干。

韩文程的会议室-说话人03(00:19:32): 对你说，如果是按月发现在是我们去火山买，肯定是给他，你说买一年，我们可以给他下单12个月，但是在你那12个月，我们要怎么把它里面缺失一个月，一个月给小时候就不用。

韩文程的会议室-说话人01(00:19:44): 然后我就我想到了，就是灯光这边只保持一个逻辑，他就监测那个行为状态，这行为状态我从1号开始监测30号生效，我监测完一个周期，我就给他发这个月的佣金，对不对？

韩文程的会议室-说话人02(00:19:58): 我现在没有，我现在只是监测的社会人员点点一开通的状态，只要他操作那个瞬间，我会把这个语音给发号。

韩文程的会议室-说话人03(00:20:08): 因为30天现在是我今天才讲。

韩文程的会议室-说话人02(00:20:10): 对。

韩文程的会议室-说话人03(00:20:11): 三个星期前咱们才提的？

韩文程的会议室-说话人01(00:20:11): 当天是昨天咱们才提的嘛，对所以你现在没有这我的理解。

韩文程的会议室-说话人02(00:20:15): 30天是交费为30天之后才算给他确认一盘还是没有？

韩文程的会议室-说话人01(00:20:19): 然后增光这边只保留一条规则就可以，因为他只检测那个行为状态，如果客户买一年还是买24，买两年跟增光没有关系？

刘书言(00:20:29): 不能吃。

韩文程的会议室-说话人02(00:20:30): 我知道，他说他的意思状态我们一直当做，比如说给他开了，立马就让交运维去点确认。四川那边意思一满了一个月了，确认你后面没问题了，我才把你这个确认席位给您点确认。就不是给他开通了，立马就点就开通了，你是已支付。

韩文程的会议室-说话人03(00:20:54): 对我知道你算要你要过30天你才去算那个钱？

韩文程的会议室-说话人02(00:20:58): 但是正好也有问题。

韩文程的会议室-说话人03(00:20:59): 对你你你现在一年的钱怎么去？

韩文程的会议室-说话人01(00:21:02): 对啥，你们可能没听明白，你看你监测的是后面席位的状态，比方说这边有一条席位，你监测的这个状态一个月弄了，我又给他一个月钱。其实客户买的是一年，什么时候到期干嘛，咱们是在另外一个地方去看，主要客户到期了之后，这张账号的状态一定会改变，要么就停用了，要么就删除了，你监测不到就不发了。

韩文程的会议室-说话人02(00:21:28): 这种我知道能监测就是过期时间我也有个问题点就是说我怎么知道确定可以开通，因为我当时想的场景就是这样。

韩文程的会议室-说话人02(00:21:37): 因为我们的支付有对公转账，他可能有些公司他去上传的不是真实的凭证，比如说我随便上传一个对公的，我就随便提交了一条，他其实这一条不是真正的去对公转账或者支付有问题的。

韩文程的会议室-说话人01(00:21:54): 今天对公转账我觉得不靠谱，因为。

韩文程的会议室-说话人03(00:21:56): 对抗场上。

韩文程的会议室-说话人02(00:21:58): 我知道可以驳回吗？

韩文程的会议室-说话人03(00:21:59): 对驳回其实还是他还要进进入交付的那一条流才能够给他算佣金的。

韩文程的会议室-说话人02(00:22:08): 我知道有个问题点就是因为我们现在没有火山，我们现在还不知道火山给我们的接口，但我们现在要有一个已开通的席位，对开通了多少个，如果按照刚才逻辑来说。我开通了10，你开通了10个，我30年之后才能去给他结算这个佣金，那30年之后，这个状态，这个订单的状态才能变为已开通嘛，但其实我现在我不知道就是不是要抽出来两个状态。

韩文程的会议室-说话人01(00:22:36): 从咱的控制台里边不是能看得到我的账号下面的那些 cloud 它的运行状态吗？

韩文程的会议室-说话人02(00:22:44): 我的意思在系统里面要去体现出来，我这样来讲，就是我们结合着现在这个页面来讲。

韩文程的会议室-说话人01(00:22:57): 如果你能监测得到他其实后面做的最清楚，就是我的销售，我负责的客户，比方说，李磊在我这，李磊是我的客户，他买了100个席位，但是他这个月只开通了10个的佣金只有10个。

韩文程的会议室-说话人02(00:23:08): 我平均只有10个，你看是这样的，你看我现在这是我现在支支付出来的这些订单对我大概就讲一下这些东西。

韩文程的会议室-说话人01(00:23:18): 对。

韩文程的会议室-说话人02(00:23:18): 比如说我现在有两种方式，一个是微信支付，一个是备用能量？对公转账需要走审核流程是有审核状态，就是为了对公转账来做。然后我微信扫码之后，我只要支付完之后就是相当于和现在一模一样的订单状态，对仍然是已支付了。

韩文程的会议室-说话人02(00:23:39): 开通的状态，我之前一直现在运维人员没给他开通。

韩文程的会议室-说话人01(00:23:43): 这上面有个小问题，就是你看他买了7套，他已开通，他给我开通两套，这里边管理就没有那么细致。

韩文程的会议室-说话人01(00:23:53): 我讲对。

韩文程的会议室-说话人02(00:23:54): 对所以我的意思，所以我刚才在说是不是要再多出的一个功能，这个不能叫开通状态，这个叫，比如说。发放佣金的状态，比如说。

韩文程的会议室-说话人01(00:24:06): 我觉得可以啥，这边是不是能67-17杠几七杠几，然后这个是不是能实时监测的，或者说再换种方式也可以？

韩文程的会议室-说话人01(00:24:17): 我觉得我也在想。

刘书言(00:24:18): 增光你开通状态跟结算是两回事？

韩文程的会议室-说话人03(00:24:19): 主要监测我们拿不到数据源。

韩文程的会议室-说话人02(00:24:24): 因为当因为现在的节点是这样的，现在的节点是你看我现在是还没有开通，其实这个时候我找微信。

刘书言(00:24:32): 我知道你我知道我懂你意思，你这个开通只是针对于运维嘛，你运维开通完了以后你就在这改改成已开通或者干嘛，那边的结算的话，你这个运维开通了，你在那个代理商那边，不管是我们内部的代理还是外部的代理，你就记记一下这个运维什么时间给他开通的，然后你按世康说的，过了三十天以后再给他结算那个金额就行了，代理商这里不是也有一个状态是？

