韩文程的会议室-说话人01(00:00:00): 我们这有个创建那激活码要创建。这些细微信息都在我们这边去维护对。
韩文程的会议室-说话人02(00:02:31): 要也要跟他？

韩文程的会议室-说话人01(00:02:33): 生活也比较多。

韩文程的会议室-说话人02(00:02:34): 哪一点。然后。

韩文程的会议室-说话人03(00:02:38): 然后你对我，我这边也记一下。包括提用的流程。

韩文程的会议室-说话人01(00:02:44): 这个佣金是企业，他对公转过来多少钱，我就按转过来，钱5%。比如说我花了1万块钱买了10个席位，那是不是效果就分了5% 1万的5%？

韩文程的会议室-说话人01(00:02:58): 希望。

韩文程的会议室-说话人03(00:03:00): 你收入低5%但是整整体还要跟他们确认一下流程，包括这个页面，如果说他们流程没定，其实这个页面咱设计好拆。

韩文程的会议室-说话人02(00:03:09): 对。是销售方式，这个就是流资，他们讲的流资。

韩文程的会议室-说话人01(00:03:17): 刘总就是从官网，他对企业过来。

韩文程的会议室-说话人02(00:03:20): 对企业过来对。他这里有一个部门需要分配。

韩文程的会议室-说话人01(00:03:26): 那这个东西就叫分配吧，其实就是相当于是跟创建企业是一样的逻辑，就是现在企业没有分配人把这个企业分配给谁就行了，对这里其实就相当于是查一下所有没有分配的企业，然后全部都放到这上流资。

韩文程的会议室-说话人01(00:03:41): AA。

韩文程的会议室-说话人02(00:03:43): 不，这是每一条消息，就每一条信息我给你再回去一下。

韩文程的会议室-说话人01(00:03:51): 但是猫耳不是有个灵芝吗？灵芝他不是企业。

韩文程的会议室-说话人02(00:03:55): 不是你看不是他会填一下，一般他想要咨询，他会填一下自己的公司，对这样一条就等于一条这样的消息把它转给一个。

韩文程的会议室-说话人03(00:04:08): 这个流资我感觉这次可以不用也不用上，因为你官网这次不一定能搞定，其实等于说官网上没有流资信息也进不来。

韩文程的会议室-说话人02(00:04:17): 帮我搞定。

韩文程的会议室-说话人03(00:04:18): 对5月20号首先是你们不一定能不能顺这个时间比较紧张？

韩文程的会议室-说话人02(00:04:26): 他的系统。

韩文程的会议室-说话人01(00:04:29): 主要这个流资和刚才不是说的是他创建完之后直接进到企业里了，企业没有企业管理里边有这个企业信息，但是说没有分配人嘛。

韩文程的会议室-说话人02(00:04:38): 不和不一，不是东西，就是注册，就是他确定我要买了，一般是。

韩文程的会议室-说话人01(00:04:46): 注册的时候。

韩文程的会议室-说话人02(00:04:47): 对是他想咨询他在官网之后，我只想了解一下咨询的对咨询的。

韩文程的会议室-说话人01(00:04:52): 咨询的？

韩文程的会议室-说话人02(00:04:54): 我就是了解一下这个事。

韩文程的会议室-说话人01(00:04:57): 咨询问题那我？

韩文程的会议室-说话人02(00:04:58): 在这里的话就会让分配，比如我们手机上。

韩文程的会议室-说话人01(00:05:03): 给哪个销售去？

韩文程的会议室-说话人02(00:05:03): 给拿销售去给拿销商去跟进，然后去获客，转化，就分配一下，然后那销售到销售那个端他就会。

韩文程的会议室-说话人03(00:05:13): 大家我感觉后面刷一些前面前期这个阶段都是我展会他的资源分享出来，这些都已经确定好了，谁要配，不管后面前面先迭代，这个确实时间是搞不定，包括那个官网那些东西不会和设计完都得5月份你再快按高高的这个速度，平时的产出，我感觉起码得5月都5月15号回来，起码得一周得5月8号，再说有这个位置就先汇报完了，回后这个有点质量我也提一下。

韩文程的会议室-说话人02(00:05:52): 你跟他讲，他肯定说啥都要，那他无所谓。大家都会。

韩文程的会议室-说话人01(00:06:01): 都叫什么佣金管理？

韩文程的会议室-说话人02(00:06:04): 就刚刚讲的。

韩文程的会议室-说话人01(00:06:06): 游击规则的？

韩文程的会议室-说话人02(00:06:07): 有运营规则是能够调普通销售的一个，因为现在说了它会有一个还有我们先是代理，我们下面还会做一层代理就是给他们用。

韩文程的会议室-说话人01(00:06:17): 还要做我们？

韩文程的会议室-说话人02(00:06:19): 我们先可以，我觉得可以先不要考虑吧，对先不考虑理解成就是所有都理解成是1级不同的人，他的。

韩文程的会议室-说话人01(00:06:23): 先不要考虑吧，先不考虑。那这个你这个佣金你正常的佣金其实是和销售那边直接就挂了。

韩文程的会议室-说话人02(00:06:36): 对你可以把我刚才说的下1级那种代理给他变成一个大操作。他的。

韩文程的会议室-说话人04(00:06:46): 你肯定是这意思？

韩文程的会议室-说话人02(00:06:47): 对，就我们现在自己公司的这些销售，我们给5%就想要跟着我们干的那些大的那些小代理，然后他就给他10%的这个代理，我知道我的意思，那这个。

韩文程的会议室-说话人01(00:07:00): 我知道我的意思，那这个微信规则就不需要在这里边放的话，你直接你这样反而让我们搞个更复杂，你你点一下那个销售管理销售创建销售的是内部员。内部那个员工账号是创建销售的吧，这是创建销售的你你点一下新哥，你是不是在这里边有个应用进行选择？

韩文程的会议室-说话人03(00:07:22): 不，他这个角色有很多，你包括管理员要什么，他只你他刚比如说这是销售管理，我知道你看他你在这里创建的话，他还有管理员和客户管理员这些东西，他角色有很多。

韩文程的会议室-说话人01(00:07:30): 他刚比如说这是销售。他角色有很多，那你点 ABC 的还有这里面一定会显示所有销售的名字。

韩文程的会议室-说话人02(00:07:44): 就是销售，他会有就不同类型项目，我们提前可以改的做成两种，就是我们企业内部的销售有几万的销售，特别这样理解，目前。

韩文程的会议室-说话人03(00:07:56): 目前不涉及企业目前都是内部。

韩文程的会议室-说话人02(00:07:58): 行就至少是我们可以聊六六聊一个。

韩文程的会议室-说话人03(00:08:02): 可以。你们时间来不及的话也可以布置你先固定5%因为目前不涉及到代理商这个概念。

韩文程的会议室-说话人02(00:08:08): 也可以布置。

韩文程的会议室-说话人03(00:08:15): 他们不打算推代理商可能都得7月往后再去推代理商，所以目前全都是我们内部，你们就先固定他们适合他们固定的至少5%那可以先写死，或者说你留个口可以改就行了。

韩文程的会议室-说话人02(00:08:19): OK 所以目前全都是我们内部，你们是？

韩文程的会议室-说话人04(00:08:25): 或者说。

韩文程的会议室-说话人03(00:08:28): 或者说你你们到时候开发的时候，第一个是留个口可以改那个全全局的，然后可能会针对谁，然后万一他有什么想法再针对你，大家都去改。

韩文程的会议室-说话人01(00:08:40): 所以啥没有佣金规则，你得有个，比如说名字和啥，你创建的时候，你是绑定这个规则。

韩文程的会议室-说话人03(00:08:40): 所以，我的。

韩文程的会议室-说话人01(00:08:51): 它的规则可以创多个你的销售业绩去跨到这个规则上面。

韩文程的会议室-说话人03(00:08:54): 你再点一下销售管理，看有没有？

韩文程的会议室-说话人01(00:08:56): 对你得去挂。

韩文程的会议室-说话人02(00:08:56): 对确实是他说。

韩文程的会议室-说话人03(00:08:58): 现在就我懂你现在这个规则，其实在这没有跟其他关联上。

韩文程的会议室-说话人01(00:09:02): 没有关联到你交销售对交全对这里。

韩文程的会议室-说话人02(00:09:05): 确实是这里就可以少一个，我的意思。

韩文程的会议室-说话人01(00:09:07): 搞一个对我的意思对你选销售的时候可以去挂钩了它的规则，然后规则是必填的。

韩文程的会议室-说话人02(00:09:09): 你选角色的时候可以去挂钩上它的规则，咱们的规则都必填的行！

韩文程的会议室-说话人01(00:09:14): 这个他这个活动可能快一点。

韩文程的会议室-说话人02(00:09:16): OK 然后这个是流水，就看一下我们这里所有的整体账单，还有一些多少佣金。

韩文程的会议室-说话人03(00:09:28): 这块是不是跟上面？

韩文程的会议室-说话人01(00:09:30): 是订单管理？

韩文程的会议室-说话人04(00:09:30): 订单管理有点像。

韩文程的会议室-说话人01(00:09:32): 你定我觉得你？

韩文程的会议室-说话人03(00:09:33): 我觉得你跟销售管理的人一样，销售管理已经写了邮件了！

韩文程的会议室-说话人02(00:09:39): 这是针对每一笔的？

韩文程的会议室-说话人03(00:09:43): 你看你点销售管理，这两个客户管理都差不多，你看他也有他的用气。

韩文程的会议室-说话人02(00:09:48): 是不一样，一点点是针对每一笔订单。他是哪个人，然后他这里这笔账多少钱？

韩文程的会议室-说话人03(00:09:57): 你挣了多少钱，不同的维度对他。

韩文程的会议室-说话人02(00:09:59): 对他是不是销售，比如已经拿完佣了？

韩文程的会议室-说话人01(00:10:09): 按我的理解，它是和订单直接可以放一块去开发，现在就开发两个，因为你本来也属于媒体订单，肯定会产生佣金的，那是不是它这个东西其实就可以和订单里面去做一块？

韩文程的会议室-说话人01(00:10:30): 佣金的流水对我们来说也就是订单佣金的一个概念。

韩文程的会议室-说话人02(00:10:34): OK 可以，我们就把这个订单存把这个多加点字段！

韩文程的会议室-说话人01(00:10:38): 国家知道，或者说有个长安银行更是控制的。

韩文程的会议室-说话人03(00:10:41): 不跟订单，不要说一块儿订单钉钉钉订单是我们公司层面看这个用这个东西应该跟销售存一块儿，比如销售管理，我点开以后，然后有个明细是吧，有个明细我就能看到这个。

韩文程的会议室-说话人01(00:10:41): 不跟订单不要做一块儿订单，钉钉订。

韩文程的会议室-说话人01(00:10:56): 那就是菜单销售也可以看的，我们也看那肯钉钉。

韩文程的会议室-说话人03(00:10:58): 那肯定小路得看他得核验他两个都得核验！

韩文程的会议室-说话人01(00:10:59): 你看他得核验。

韩文程的会议室-说话人03(00:11:02): 您的销售也能看到这些东西吧？你切换个角色看一下。我作为学生，我能看不到我自己的承担记录，我做了一个卡。老板。

韩文程的会议室-说话人01(00:11:17): 那你那选择那就这样，那没事。

韩文程的会议室-说话人03(00:11:20): 对你看这边就是用你名字就没错，就按照这个也可以。

韩文程的会议室-说话人01(00:11:22): 没错，也可以，那还请我刚才到我里边。

韩文程的会议室-说话人02(00:11:36): 是改前台改价的？

韩文程的会议室-说话人04(00:11:39): 这两个应该做不一样。

韩文程的会议室-说话人03(00:11:42): 刚才是销售佣金明细跟这个这里没有佣金销售佣金明细是归位，还是有序？

韩文程的会议室-说话人02(00:11:50): 算一下。

韩文程的会议室-说话人03(00:11:52): 我看你这两个页面不一样的，你点一下都是管理部分。

韩文程的会议室-说话人02(00:11:57): 进销售？

韩文程的会议室-说话人03(00:11:58): 不，你点一下左边菜单销售管理？这个是所有的销售，它的总量。

韩文程的会议室-说话人02(00:12:05): 下面的所有的消费。

韩文程的会议室-说话人03(00:12:09): 然后那边是那边销售的话，他们自己的。

韩文程的会议室-说话人02(00:12:13): 对你说你进进这个是吗？

韩文程的会议室-说话人03(00:12:15): 可以再进行输入。这里的用户明细这里是展示他自己的个人卡的这么一个问题，然后下面是他的，下面是流水。那我感觉在我们那边在官方那里就可以把佣金流水合并到销售管理。

韩文程的会议室-说话人03(00:12:42): 然后比如说你你你销售管理，那么他的会有详情吗？你点开详情这里面就会有需求。

韩文程的会议室-说话人02(00:12:49): 有您消息。

韩文程的会议室-说话人03(00:12:50): 就完了，对他这个原因这里也有！对就是感觉有点重，重复了这些关系。

韩文程的会议室-说话人02(00:12:55): 可以过的页面。行，我可以把这个调一下就不必要他单独做一个。

韩文程的会议室-说话人03(00:13:02): 我感觉可以利用。

韩文程的会议室-说话人02(00:13:03): 我信对。加套餐。

韩文程的会议室-说话人01(00:13:09): 套餐给客户改个套餐。

韩文程的会议室-说话人02(00:13:12): 在前台的时候，他选的时候下订单的时候他一个价格。

韩文程的会议室-说话人01(00:13:17): 他是。

韩文程的会议室-说话人02(00:13:19): 然后就是点包。

韩文程的会议室-说话人01(00:13:19): 是那种阳光？

韩文程的会议室-说话人02(00:13:22): 这三种角色。

韩文程的会议室-说话人01(00:13:24): 我有个问题，是不是必须得我们用户信息有他才能登录，没有的，所有的不允许他登录。你聊就是你和我素颜现在咱仨可能是管理员，也可能是客户，有可能销售，然后咱仨有对应的角色的一个。

韩文程的会议室-说话人02(00:13:34): 素颜现在咱仨，可能是。

韩文程的会议室-说话人01(00:13:42): 就是分配了，你看我在这里分配了分配给内部员工，我分配完之后我才可以去登录，那如果说我假设文强这边他没有给他分配，假设那是不是所有的系统都会分配，觉得是不是他不应该去登录这里？

韩文程的会议室-说话人02(00:13:54): 他就登不了他没账号。

韩文程的会议室-说话人01(00:13:56): 对这里。

韩文程的会议室-说话人02(00:13:57): 对这里新资源是不是你看这里有给他创建他一个工号。

韩文程的会议室-说话人01(00:14:02): 所以我的意思他登录的时候只其他外围外部人员是登录不进来，对必须要是我们这边操作才能去登录。

韩文程的会议室-说话人02(00:14:07): 这就是我们这边错吧，才能去登录，对就，但是它是共用一个入口？

韩文程的会议室-说话人01(00:14:13): 我知道功能一个入口就是所有我不管所有的，只要我校验你的手机号在不在我的这个用户所有用户权限里，对用户都是分权限对。

韩文程的会议室-说话人02(00:14:21): 对用户他是对他的权限是那个管理员，他就会登一下，他就进进来，那他如果是那个运维就是进入运维的界面，相当于小的操作界面？

韩文程的会议室-说话人01(00:14:36): 客户管理员是不是只有企业创建企业的时候，手机号才是客户管理员？只有手机号才能登录，说不是手机号登录不了。

韩文程的会议室-说话人02(00:14:43): 只有那一个手机号才能登录，说不是手机号登录不了。

韩文程的会议室-说话人01(00:14:48): 那他这样的话还会客户用户，那他手机号可能还会是用户，那他一个手机号可能会有两个角色。

韩文程的会议室-说话人02(00:14:55): 一用户和管理员他是差不多界面，他只是成员，他这里可能会少一些，怎么运维这些东西给他删了。

韩文程的会议室-说话人01(00:15:07): 它是一样的页面。

韩文程的会议室-说话人02(00:15:08): 对一样的都是一样的。

韩文程的会议室-说话人01(00:15:11): 那就相当于还是一个什么地方就好。后台的我看了那就从用户做销售吧，要不先销售做。

韩文程的会议室-说话人02(00:15:21): 听说过对。

韩文程的会议室-说话人01(00:15:22): 现在我在那边参加好多销售。一样的页面。这个页面显示他当前自己操作的信息。

韩文程的会议室-说话人02(00:15:30): 对肯定自己体系里面对小贺，这里还要需要一个他线下自己获客了，他能够新增客户的一个的职责。

韩文程的会议室-说话人02(00:15:41): 就跟刚刚穿的鞋一样。跟上一些。

韩文程的会议室-说话人01(00:15:46): 新的客户，新的一个企业，然后直接放到自己里边。

韩文程的会议室-说话人02(00:15:52): 然后在后台也能看到。

韩文程的会议室-说话人01(00:15:54): 那你又不需要新增企业客户，什么公司客户什么之类的，因为因为要不然你看我上来新的客户，我不知道是干啥。

韩文程的会议室-说话人02(00:16:01): 因为是。

韩文程的会议室-说话人01(00:16:02): 新增公司客户组之类，你起码在做一份对。

韩文程的会议室-说话人02(00:16:10): 那我知道了。

韩文程的会议室-说话人01(00:16:11): 之前来是客户信息对！

韩文程的会议室-说话人02(00:16:13): 这里就是 CRM 的一些相关的东西，比如说跟进基本信息订单。

韩文程的会议室-说话人01(00:16:19): 一样的。

韩文程的会议室-说话人02(00:16:20): 对行，然后跟进他就可以在这里写一些，他说他打电话，然后在这里能够就一些一些字段的一个保留，他这个不会强绑定，但是他自己选择，就把我用微信我做了些什么东西，就在这里留个可能让他们领导看到给。没有帅气。

韩文程的会议室-说话人02(00:16:45): 邀请码我们到时候带起来邀请码不要你觉得邀请码需要吗？

韩文程的会议室-说话人03(00:16:52): 不需要的不需要。

韩文程的会议室-说话人01(00:16:53): 不需要678对，其实再说。

韩文程的会议室-说话人02(00:16:56): 说邀请码是，比如他在注册的时候，然后他填邀请码就绑，直接绑定了一个销售，或者是用这个链接去。

韩文程的会议室-说话人01(00:17:05): 不是他注册的时候他是已经有已经公司有这个信息的才能注册。

韩文程的会议室-说话人03(00:17:10): 你那个激活码其实就涵盖这个邀请信息了，因为他你你那个流程都是，如果是销售进来的话，他其实会有。我们会判断说客户是谁，再给他生成激活码的时候就管理。

韩文程的会议室-说话人02(00:17:24): 所以我的意思是比较前置的时候就他注册。对这在这里，那它是不是，如果它是空白的打开了这个 rest 没有带后缀，就是不显示消息的，那它如果它也可以填一个你说。

韩文程的会议室-说话人01(00:17:44): 你说的是那你这等于是前台的那相当于是前台直接挂钩。

韩文程的会议室-说话人02(00:17:46): 这就等于？

韩文程的会议室-说话人01(00:17:50): 企业那这样的话，和他把信息给销售是一个概念，对一样。

韩文程的会议室-说话人02(00:17:55): 一样的。

韩文程的会议室-说话人01(00:17:56): 对这个意思就是邀请码，它本来不是从前端过来之后，我们这个企业没有和销售挂钩，他的公共邀请码和企业挂钩。

韩文程的会议室-说话人03(00:18:06): 不是你这你你你画那个流自然访问这个东西不是进入公共池吗？然后官方去分配调度。所以。

韩文程的会议室-说话人01(00:18:14): 下月天马就有点失眠了。

韩文程的会议室-说话人03(00:18:15): 不是所以你你是到底是要怎么怎么搞？

韩文程的会议室-说话人02(00:18:19): 因为我在想是不是需不需要我们自己也讨论一下我，我感觉。

韩文程的会议室-说话人03(00:18:22): 我感觉不行，邀请码这个东西搞的是。

韩文程的会议室-说话人02(00:18:27): 别了，不要干别写。

韩文程的会议室-说话人03(00:18:29): 其实你从很多的用户层面考虑，他们会不操作。

韩文程的会议室-说话人02(00:18:33): 他们会不操作？

韩文程的会议室-说话人01(00:18:35): 他随便说了。

韩文程的会议室-说话人03(00:18:36): 对他要不就不说，要不就随便说，你看之前那个月票拉的有很多不都是。还有我拉的客户又不在下面了，你还得打开给他去改好麻烦。

韩文程的会议室-说话人02(00:18:47): 为什么。我就把这个删了，就是他们的一些分享链接。

韩文程的会议室-说话人03(00:18:57): 其实整就整整个这一个菜单都可以发的，就分享的注册了。

韩文程的会议室-说话人02(00:19:03): 分享的链接它需要上架吗？就是专属的注册？

韩文程的会议室-说话人01(00:19:07): 注册的。

韩文程的会议室-说话人02(00:19:09): 专属注册的？

韩文程的会议室-说话人03(00:19:11): 你专属注册？

韩文程的会议室-说话人01(00:19:12): 就有点像刚才里边邀请码已经推送。

韩文程的会议室-说话人02(00:19:15): 已经好了，已经。

韩文程的会议室-说话人01(00:19:18): 对一会还有一个马东。

韩文程的会议室-说话人02(00:19:19): 反正就注册了，让他们销售直接发给客户，就给那个16。

韩文程的会议室-说话人03(00:19:22): 那这个是没问题的，我们本身你就。

韩文程的会议室-说话人01(00:19:24): 二维码已经拼上去了。

韩文程的会议室-说话人03(00:19:29): 那就等于说这个页面就只有一个注册链接，然后和我邀请的人，这个列表，就这两个东西。

韩文程的会议室-说话人02(00:19:37): 大家知道。

韩文程的会议室-说话人03(00:19:38): 我说未来你改过以后？

韩文程的会议室-说话人02(00:19:47): 所以他注册完之后他是状态是还没去投，是不是开通了，他是不是付了钱，然后这种状态最近？

韩文程的会议室-说话人03(00:19:59): 那些提醒是要怎么提醒暂停报警还是？

韩文程的会议室-说话人02(00:20:08): 这是感觉你觉得今天接接接短信好吗？

韩文程的会议室-说话人03(00:20:14): 对这提醒就提醒内部。这个销售问题我们造这个平台就咱就不讲咱内部的客户用的话，他只有一个只有两个选择。

韩文程的会议室-说话人02(00:20:19): 说出问题。对就客户不会。

韩文程的会议室-说话人03(00:20:29): 一个是管理员，一个用户。

韩文程的会议室-说话人02(00:20:32): 对。

韩文程的会议室-说话人03(00:20:33): 你不需要调整你的不需要短信，你扎内心。

韩文程的会议室-说话人02(00:20:37): 赚了心。

韩文程的会议室-说话人03(00:20:38): 好，谢谢。

韩文程的会议室-说话人03(00:20:41): 产品信息这些东西都跟产品硬度无关，你要也可以往后。

韩文程的会议室-说话人02(00:20:45): 是的。

韩文程的会议室-说话人03(00:20:47): 对。

韩文程的会议室-说话人02(00:20:49): 刚刚讲的信用心。

韩文程的会议室-说话人03(00:20:51): 首先把核心这些。

韩文程的会议室-说话人02(00:20:52): 对游资。在这里就进池子，他这里可以看，然后他就可以去认领在这里，他抢一下。

韩文程的会议室-说话人01(00:21:06): 这个池子是不是分配吗？这个池子当时不是说在后台管理他们去分配的吗？但是为什么这里还有认定？你你是管理员，他不是可以去分配给？

韩文程的会议室-说话人02(00:21:19): 可以分配。

韩文程的会议室-说话人01(00:21:21): 又可以分配，又可以自理。这两个属于是概念冲突了，你要么就是分只能分配，你这样搞得到时候。

韩文程的会议室-说话人02(00:21:31): 如果是你会抢一个人抢完了。

韩文程的会议室-说话人01(00:21:33): 对我上次我咔抢完了，我好像其他人。

韩文程的会议室-说话人02(00:21:38): 你就。

韩文程的会议室-说话人01(00:21:38): 对你到时候你去把你关掉。

韩文程的会议室-说话人02(00:21:45): 个人销售中心这个东西。展示了最后就是运维，昨天我们聊了一些后面想象，其实没必要在这里去做。

韩文程的会议室-说话人01(00:22:03): 你交不交给我都不太合适，对我也是我。

韩文程的会议室-说话人02(00:22:05): 对我也是我大家都就是，但是他现在不是在做交公司招聘吗？他肯定不需要一个角色！

韩文程的会议室-说话人01(00:22:14): 暂时没有照着就照着后面对他现在后面在做。

韩文程的会议室-说话人03(00:22:17): 他现在都没有。

韩文程的会议室-说话人02(00:22:19): 这里主要有一个，我觉得现在第一版最多的给他做的就是做一个交付工单就够了。

韩文程的会议室-说话人03(00:22:27): 不用这个第一版就运维，到时候我去那边，我让他们一个企业或者 APP 先把这个东西落地。

韩文程的会议室-说话人02(00:22:38): 行，那你这就先讲。

韩文程的会议室-说话人03(00:22:40): 白天我也发。

韩文程的会议室-说话人01(00:22:41): 对。

韩文程的会议室-说话人02(00:22:41): 先不讲。

韩文程的会议室-说话人01(00:22:41): 先不讲。

韩文程的会议室-说话人02(00:22:43): 就最后在这里能够如果要做的话，创建工单，然后他从这里能够进入苹果客户的这个过程去进行一些管理。

韩文程的会议室-说话人01(00:22:44): 最后在这里能够有过。

韩文程的会议室-说话人03(00:22:46): 我只是创新。

韩文程的会议室-说话人04(00:22:50): 我们最后的。

韩文程的会议室-说话人02(00:22:56): 往后。

韩文程的会议室-说话人04(00:22:56): 除了。

韩文程的会议室-说话人02(00:22:57): 然后。

韩文程的会议室-说话人01(00:22:58): 就相当于是到客户那里先到客户那里。

韩文程的会议室-说话人02(00:23:01): 客户管理和现在客户成员还没有把它全全区分出来，客户管理员其实我们你要不直接看火山？

韩文程的会议室-说话人01(00:23:11): 然后不是我感觉看你这边不知道，反正我刚才看了一下，那这个东西有干嘛，测内都不需要这个东西都不是配这些东西的。地址就我们刚才登录地址。

韩文程的会议室-说话人04(00:23:29): 他就不知。

韩文程的会议室-说话人01(00:23:31): 这个登录的地址可以给他，就是按照我们火山是什么地址就是什么地址，对，但这个东西你是用不到的这个东西是做认证授权的。到我那边去最好的。

韩文程的会议室-说话人02(00:23:43): 我就看一下你们这个设备咋样了？

韩文程的会议室-说话人01(00:23:49): 对你东西不是为了你这里用的，这是在火山认证授权里面去配这个东西。

韩文程的会议室-说话人03(00:23:54): 就配这个？

韩文程的会议室-说话人04(00:23:55): 刚开完别的车正好。

韩文程的会议室-说话人03(00:23:59): 过滤一下，过滤一下功能，我就不该给你们买烟灰缸。

韩文程的会议室-说话人04(00:24:00): 我就不该给你们买烟灰缸。

韩文程的会议室-说话人03(00:24:03): 可以给他们。

韩文程的会议室-说话人01(00:24:05): 嘎嘎嘎开听过会都。

韩文程的会议室-说话人03(00:24:06): 抽下来了，高高。

韩文程的会议室-说话人01(00:24:08): 最后一个人。

韩文程的会议室-说话人02(00:24:09): 抽上。

韩文程的会议室-说话人01(00:24:10): 说来说。

韩文程的会议室-说话人02(00:24:12): 第一步我记得是。为什么他估计没干？对你看这个东西不是看这个看我知道。

韩文程的会议室-说话人01(00:24:24): 东西不是？我想帮我知道这个东西不是为了给用户去用的，而是这个东西是我们配好之后已经配置好的，在这个里边是配置好的，所以说你和用户是没有关联的。

韩文程的会议室-说话人04(00:24:34): 所以说你和用户是没有关系，对确实就是咱我不是说了嘛，咱这个平台有一部分功能是给咱自己的客服人员用的，有一部分是给客户用的，像这么细节的东西，不要让用户用这个让客服人员用就行。

韩文程的会议室-说话人01(00:24:50): 这个颜色在这东西是在什么奥，这种东西里边配的这个东西它。和用户测一点关系都没有。这个东西是配我配奥斯库 SSO 的时候才用的。

韩文程的会议室-说话人02(00:25:05): 对比如说像皮筋，他们之前他第一次进来会需要。

韩文程的会议室-说话人04(00:25:09): 作用，对体现他们效用。

韩文程的会议室-说话人01(00:25:11): 然后我配我，我改权限改改东西。

韩文程的会议室-说话人02(00:25:13): 现在我们所有的客户，他我们都不会让他去直接去做这样的事情。

韩文程的会议室-说话人04(00:25:17): 就让他自己手动可以给你有个入口，不需要那么显眼。因为绝大多数客户肯定是咱的人在配！

韩文程的会议室-说话人02(00:25:27): 我们的给他备案。

韩文程的会议室-说话人03(00:25:30): 大家要不先给咱们大概过一下产品？

韩文程的会议室-说话人04(00:25:33): 对我看你们怎么设计的。

韩文程的会议室-说话人02(00:25:35): 整体已经支持。

韩文程的会议室-说话人04(00:25:35): 我今天觉得最麻烦的地方在于多租户这一块，因为他们没把多租户这块设计好，咱都不好搞这块。

韩文程的会议室-说话人03(00:25:44): 多租户昨天跟徐刚说下午跟光跟火山那边对一下，看他们是什么什么样的开发思路来根据他们。

韩文程的会议室-说话人04(00:25:50): OK 对这块比较薄，因为他们还没搞完。

韩文程的会议室-说话人03(00:25:52): 他拍了。

