"feature_id","角色域","一级功能","二级功能","三级功能","四级功能","功能说明","优先级","版本","状态","页面路由","来源PRD","验收要点","备注"
"TEN-007","客户侧","能力中心","应用中心","应用管理","/","客户管理员查看企业应用并注册 Agent 或 MCP 能力","P1","Beta1.1","已有原型","/tenant/apps","1-prd/PRD.md","可进入应用中心并查看应用卡片","注册动作可先 mock"
"TEN-008","客户侧","能力中心","应用中心","注册企业 Agent","/","客户管理员为企业注册 Agent 应用","P1","Beta1.1","已有原型","/tenant/apps/create-agent","1-prd/PRD.md","表单字段齐全并能提交 mock 结果","真实凭据与回调后置"
"TEN-009","客户侧","能力中心","应用中心","注册企业 MCP","/","客户管理员为企业注册 MCP 服务","P1","Beta1.1","已有原型","/tenant/apps/create-mcp","1-prd/PRD.md","表单字段齐全并能提交 mock 结果","真实连通测试后置"
"TEN-010","客户侧","知识中心","知识库管理","知识浏览","/","客户管理员查看企业知识库、文档和连接状态","P1","Beta1.1","已有原型","/tenant/knowledge","1-prd/PRD.md","知识列表和状态可见","文件解析与向量化后置"
"TEN-011","客户侧","知识中心","数据连接","企业数据连接","/","客户管理员连接企业数据源给 Claw 使用","P2","Beta2","已有原型","/tenant/knowledge/connect","1-prd/PRD.md","可展示连接向导和 mock 状态","真实数据源权限风险较高"
"TEN-012","客户侧","组织管理","用户管理","成员列表","/","客户管理员管理企业成员、角色、加入和移除","T0","Beta1","已有原型","/tenant/users","1-prd/PRD.md","可查看成员列表并进行基础管理","SSO 同步后续接入"
"TEN-013","客户侧","组织管理","用户同步","同步结果","/","客户管理员查看员工数据更新或同步结果","P1","Beta1.1","已有原型","/tenant/users/sync-results","1-prd/PRD.md","能展示新增、更新、失败记录","Beta1 可隐藏入口"
"TEN-014","客户侧","资源配置","席位管理","席位池","/","客户管理员查看已购席位、已分配席位、剩余席位和到期时间","T0","Beta1","已有原型","/tenant/seats","1-prd-det/客户开户注册与席位激活流程-PRD.md","企业开通后可分配席位给成员","Beta1 核心承载页"
"TEN-015","客户侧","资源配置","席位管理","成员分配","/","客户管理员为成员分配、调整或释放席位","T0","Beta1","已有原型","/tenant/seats","1-prd-det/客户开户注册与席位激活流程-PRD.md","成员分配后可看到席位状态变化","真实扣减以后端为准"
"TEN-016","客户侧","开户注册","首次开通","企业级激活","/","客户管理员通过企业级激活入口确认订单并进入开通流程","T0","Beta1","已有原型","/tenant/launch-space/create","1-prd-det/客户开户注册与席位激活流程-PRD.md","激活只绑定企业和订单，不绑定单个成员","激活码仅作为备用"
"TEN-017","客户侧","购买与账单","购买席位","标准套餐下单","/","客户管理员选择套餐和席位数量生成购买订单","T0","Beta1","已有原型","/tenant/purchase","1-prd-det/客户开户注册与席位激活流程-PRD.md","能选择套餐、数量并生成订单","Beta1 默认对公"
"TEN-018","客户侧","购买与账单","支付订单","对公付款提交","/","客户管理员查看对公收款信息并提交付款凭证或备注号","T0","Beta1","已有原型","/tenant/payment","1-prd-det/客户开户注册与席位激活流程-PRD.md","提交后订单进入待对公审核状态","不接微信支付宝主路径"
"TEN-019","客户侧","购买与账单","账单中心","订单与消费明细","/","客户管理员查看订单、账单、套餐和续费扩容入口","T0","Beta1","已有原型","/tenant/billing","1-prd/PRD.md","订单状态、付款状态和开通状态可见","和支付订单联动"
"TEN-020","客户侧","优惠券","代金券管理","企业可用券","/","客户管理员查看企业获得的代金券及使用状态","P1","Beta1.1","已有原型","/tenant/vouchers /tenant/vouchers/:voucherId","1-prd-det/优惠券系统-前端Mock-PRD.md","可查看可用、已用、过期券","Beta1 可在支付页只展示抵扣结果"
"TEN-021","客户侧","合同与协议","合同管理","合同列表","/","客户管理员查看服务合同、协议和订单关联文件","P1","Beta1.1","已有原型","/tenant/contracts","1-prd/PRD.md","合同列表和详情入口可用","电子签署不在本期"
"TEN-022","客户侧","API 与开放能力","API 密钥","密钥管理","/","客户管理员创建、禁用、删除和查看 API Key","P1","Beta1.1","已有原型","/tenant/api-keys","1-prd-det/客户侧API密钥管理台-PRD.md","可创建 Key 并只在创建时展示密钥明文","真实网关鉴权后接入"
"TEN-023","客户侧","客户服务","工单与咨询","咨询提交","/","客户提交咨询或支持工单并查看处理状态","P1","Beta1.1","已有原型","/tenant/consult","1-prd/PRD.md","可提交问题并看到状态","与运维支持后台联动"
"TEN-024","客户侧","内容资讯","媒体资讯","资讯浏览","/","客户侧查看平台资讯、更新和公告","P2","Beta2","已有原型","/tenant/news","1-prd/PRD.md","资讯列表和详情可浏览","内容运营后置"
"TEN-025","客户侧","网络与安全","网络配置","入口出口配置","/","客户管理员查看企业网络配置和连通状态","P2","Beta2","已有原型","/tenant/network","1-prd/PRD.md","能展示公网入口、出口和私网状态","高危变更需审批"
"TEN-026","客户侧","个性化","品牌定制","品牌信息维护","/","客户管理员配置企业 Logo、名称和员工端视觉信息","P1","Beta1.1","已有原型","/tenant/brand /tenant/brand/create /tenant/brand/:brandId/edit","1-prd/PRD.md","保存后员工端能看到品牌信息","Beta1 非主链路"
"TEN-027","客户侧","个性化","员工端工作台","入口配置","/","客户管理员配置成员可见的工作台入口、Claw 和应用","T0","Beta1","已有原型","/tenant/workbench","1-prd/PRD.md","成员可看到已授权的工作台入口","席位可用后承接成员使用"
"TEN-028","客户侧","运维与安全","运维管理","批量运维","/","客户管理员查看运维任务并发起批量作业","P2","Beta2","已有原型","/tenant/ops /tenant/batch-ops /tenant/batch-ops/create","1-prd/PRD.md","批量作业流程可跑通 mock","真实任务执行后置"
"TEN-029","客户侧","运维与安全","用量中心","可观测数据","/","客户管理员查看用量、调用量、异常和资源指标","P1","Beta1.1","已有原型","/tenant/observability","1-prd/PRD.md","能看到关键用量指标和趋势","真实监控数据后接入"
"TEN-030","客户侧","运维与安全","安全管理","安全策略","/","客户管理员查看安全策略、登录风险和异常告警","P2","Beta2","已有原型","/tenant/security","1-prd/PRD.md","安全配置与风险状态可见","细粒度策略后置"
"SAL-001","销售侧","销售工作台","仪表盘","关键指标","/","销售查看客户数、回款、待跟进、开通进度和佣金概览","T0","Beta1","已有原型","/sales/dashboard /agent/sales","1-prd-det/Beta1页面分级清单-销售运维超管.md","关键指标和待办入口可见","路由存在平台代理和普通销售两套入口"
"SAL-002","销售侧","客户经营","我的客户池","客户列表","/","销售查看名下客户、客户状态、归属来源和累计回款","T0","Beta1","已有原型","/sales/customers /agent/sales/customers","1-prd-det/销售CRM-PRD.md","列表支持搜索、状态展示和详情入口","Beta1 不做复杂导出"
"SAL-003","销售侧","客户经营","新增客户","手动录入","/","销售线下拓客后手动创建客户并触发去重提示","T0","Beta1","已有原型","/sales/customers/new /agent/sales/customers/new","1-prd-det/销售CRM-PRD.md","基础字段可提交，重复企业或手机号有提示","真实查重后端接入"
"SAL-004","销售侧","客户经营","客户详情","跟进记录","/","销售查看客户信息、跟进记录、订单历史、开通状态和佣金流水","T0","Beta1","已有原型","/sales/customers/:id /agent/sales/customers/:id","1-prd-det/销售CRM-PRD.md","客户详情能串起订单、开通和佣金状态","跟进记录可先 mock"
"SAL-005","销售侧","获客工具","分享链接","注册链接","/","销售生成分享链接、二维码和邀请码用于客户注册归因","T0","Beta1","已有原型","/sales/share","1-prd-det/销售CRM-PRD.md","链接可复制，使用记录可见","邀请码只用于归因"
"SAL-006","销售侧","开通跟进","开通任务","状态跟踪","/","销售查看客户付款、对公确认、开通任务、企业激活和席位池状态","T0","Beta1","已有原型","/sales/opening-tasks /agent/sales/opening-tasks","1-prd-det/客户开户注册与席位激活流程-PRD.md","能定位客户卡点并提醒客户或后台","销售不直接操作火山资源"
"SAL-007","销售侧","佣金","佣金明细","佣金流水","/","销售查看订单关联佣金、状态和预计金额","T0","Beta1","已有原型","/sales/commission /sales/commissions /agent/sales/commission","1-prd-det/财务佣金结算-PRD.md","企业开通后能看到 pending 佣金","不做复杂申诉"
"SAL-008","销售侧","线索","咨询工单池","线索跟进","/","销售查看分配给自己的官网咨询和待跟进线索","P1","Beta1.1","已有原型","/sales/leads /agent/sales/leads","1-prd-det/Beta1页面分级清单-销售运维超管.md","线索可查看、认领或跟进","Beta1 可由后台分配替代"
"SAL-009","销售侧","个人中心","资料与邀请码","个人资料","/","销售查看个人资料、邀请码和基础业绩信息","P1","Beta1.1","已有原型","/sales/profile /agent/sales/profile","1-prd/PRD.md","基础信息可见","不阻断主流程"
"ADM-001","官方管理员后台","全局工作台","仪表盘","待办总览","/","官方管理员查看待审对公、待开通、异常订单和关键运营指标","T0","Beta1","已有原型","/admin/dashboard","1-prd-det/Beta1页面分级清单-销售运维超管.md","待办能跳转到具体处理页面","不做复杂 BI"
"ADM-002","官方管理员后台","企业管理","企业列表","客户管理","/","官方管理员查看和管理所有企业客户、销售归属和席位摘要","T0","Beta1","已有原型","/admin/tenants","1-prd-det/超级管理员后台-PRD.md","企业列表支持状态、归属和详情入口","支持线下签约补录"
"ADM-003","官方管理员后台","企业管理","企业详情","客户档案","/","官方管理员查看企业基础信息、管理员、订单、席位和开通状态","T0","Beta1","已有原型","/admin/tenants/:id","1-prd-det/超级管理员后台-PRD.md","企业详情能定位订单和开通卡点","高风险代登录分离"
"ADM-004","官方管理员后台","订单与财务","订单总览","订单列表","/","官方管理员查看客户订单、支付状态、开通任务和异常状态","T0","Beta1","已有原型","/admin/orders","1-prd-det/客户开户注册与席位激活流程-PRD.md","订单列表能筛选待审核、已支付、开通中、异常","与对公审核和开通任务联动"
"ADM-005","官方管理员后台","订单与财务","公账汇款审核","凭证审核","/","官方管理员审核客户对公付款凭证并执行通过、驳回或挂起","T0","Beta1","已有原型","/admin/orders/bank-transfer-review","1-prd-det/客户开户注册与席位激活流程-PRD.md","通过后订单 paid 并触发开通任务，驳回后客户可补充","Beta1 核心页面"
"ADM-006","官方管理员后台","订单与财务","退款处理","退款单","/","官方管理员处理退款申请和佣金回退口径","T0","Beta1","部分已有","待定","1-prd-det/Beta1页面分级清单-销售运维超管.md","可记录退款状态、原因和关联订单","当前路由需补齐或并入订单详情"
"ADM-007","官方管理员后台","开通交付","开通任务","任务分配","/","官方管理员查看 paid 后生成的企业开通任务并分配给运维","T0","Beta1","已有原型","/admin/orders/opening-tasks","1-prd-det/客户开户注册与席位激活流程-PRD.md","任务状态覆盖待开通、开通中、待激活、已开通、异常","火山资源操作可先 mock"
"ADM-008","官方管理员后台","开通交付","工单管理","交付与支持工单","/","官方管理员查看交付工单和支持工单并跟踪处理进度","T0","Beta1","已有原型","/admin/tickets /admin/delivery-tickets /admin/support-tickets","1-prd-det/运维支持后台-PRD.md","能查看工单列表、负责人、状态和详情","运维执行入口在 ops"
"ADM-009","官方管理员后台","销售与代理","销售管理","销售列表","/","官方管理员管理销售账号、状态、客户归属和基础业绩","T0","Beta1","已有原型","/admin/sales","1-prd-det/销售CRM-PRD.md","可查看销售列表并进入详情","页面名当前为代理管理"
"ADM-010","官方管理员后台","销售与代理","销售详情","名下客户","/","官方管理员查看销售档案、名下客户、佣金概览和销售继承","T0","Beta1","已有原型","/admin/sales/:id","1-prd-det/销售CRM-PRD.md","销售详情能排查归属和佣金","继承审批后置"
"ADM-011","官方管理员后台","线索管理","咨询留资池","分配销售","/","官方管理员查看官网咨询留资并分配销售跟进","T0","Beta1","已有原型","/admin/leads","1-prd-det/Beta1页面分级清单-销售运维超管.md","留资可分配、标记状态并进入销售跟进","主链路获客入口"
"ADM-012","官方管理员后台","佣金","佣金规则","基础规则","/","官方管理员配置佣金费率、归属期和适用范围","T0","Beta1","已有原型","/admin/commission/rules","1-prd-det/财务佣金结算-PRD.md","佣金流水能引用规则来源","复杂政策后置"
"ADM-013","官方管理员后台","佣金","佣金流水","流水查询","/","官方管理员查看订单关联佣金和 pending、confirmed、paid、reverted 状态","T0","Beta1","已有原型","/admin/commission/transactions /admin/commissions","1-prd-det/财务佣金结算-PRD.md","客户开通后生成 pending 流水且可追溯订单","结算发放后置"
"ADM-014","官方管理员后台","套餐价格","套餐与价格","标准套餐","/","官方管理员维护标准套餐、价格、席位规格和售卖状态","T0","Beta1","已有原型","/admin/plans /admin/pricing","1-prd/PRD.md","客户购买页能引用套餐口径","Beta1 可简化配置"
"ADM-015","官方管理员后台","组织权限","内部员工","员工账号","/","官方管理员创建内部员工并分配基础角色","T0","Beta1","已有原型","/admin/staff","1-prd-det/Beta1页面分级清单-销售运维超管.md","可新增、停用员工并设置角色","细粒度权限后置"
"ADM-016","官方管理员后台","优惠券","代金券管理","发券与查询","/","官方管理员手动发券、查看券状态和订单抵扣记录","P1","Beta1.1","已有原型","/admin/coupons /admin/coupons/:couponId","1-prd-det/优惠券系统-前端Mock-PRD.md","可发券、查看详情和使用记录","Beta1 可不作为主链路阻塞项"
"ADM-017","官方管理员后台","订单与财务","发票管理","发票列表","/","官方管理员或财务查看发票申请与开票状态","P1","Beta1.1","已有原型","/admin/orders/invoices","1-prd/PRD.md","发票状态可查询并关联订单","企业购买后续增强"
"ADM-018","官方管理员后台","佣金","佣金结算单","批次结算","/","官方管理员生成或查看佣金结算批次","P1","Beta1.1","已有原型","/admin/commission/batches","1-prd-det/财务佣金结算-PRD.md","可查看结算批次和金额汇总","首批开通不阻塞"
"ADM-019","官方管理员后台","销售与代理","客户调拨审批","归属变更","/","官方管理员审批客户归属调整、销售离职继承和冲突处理","P1","Beta1.1","已有原型","/admin/sales/transfers","1-prd-det/Beta1页面分级清单-销售运维超管.md","调拨有申请、审批、结果记录","Beta1 可人工处理"
"ADM-020","官方管理员后台","内容运营","资讯管理","资讯发布","/","官方管理员创建、编辑和发布客户侧资讯","P2","Beta2","已有原型","/admin/news /admin/news/create /admin/news/:id/edit","1-prd/PRD.md","资讯可发布并在客户侧查看","内容运营后置"
"ADM-021","官方管理员后台","系统配置","字典管理","基础字典","/","官方管理员维护平台字典项","P2","Beta2","后置","/admin/system/dictionaries","1-prd/PRD.md","字典项可增删改查并被业务引用","非主链路"
"ADM-022","官方管理员后台","系统配置","系统参数","平台参数","/","官方管理员维护平台级参数和运营配置","P2","Beta2","后置","/admin/system/params","1-prd/PRD.md","参数调整有审计和生效说明","避免 Beta1 过度配置化"
"ADM-023","官方管理员后台","监控告警","系统监控","全局监控","/","官方管理员查看平台服务状态、告警和关键技术指标","P2","Beta2","后置","/admin/monitoring","1-prd/PRD.md","能展示服务状态和告警概览","需要真实监控数据"
"ADM-024","官方管理员后台","监控告警","告警规则","规则配置","/","官方管理员配置告警规则、通知对象和触发条件","P2","Beta2","后置","/admin/monitoring/alerts","1-prd/PRD.md","规则可启停并触发通知","依赖监控体系"
"ADM-025","官方管理员后台","高危操作","代登录企业空间","临时代入","/","官方管理员以受控方式进入客户企业空间协助排查","P3","暂缓","暂缓","/admin/tenants/:id/impersonate","1-prd-det/Beta1页面分级清单-销售运维超管.md","必须有审批、授权、审计和退出机制","高风险能力，Beta1 不建议开放"
"OPS-001","交付运维后台","工单流转","我的工单","队列列表","/","运维查看分配给自己的交付工单和支持工单","T0","Beta1","已有原型","/ops/tickets /ops/delivery-tickets /ops/support-tickets","1-prd-det/运维支持后台-PRD.md","列表展示优先级、状态、负责人、来源和 SLA","Beta1 运维核心入口"
"OPS-002","交付运维后台","工单流转","工单详情","处理记录","/","运维在详情页查看客户、订单、开通任务、处理记录和客户侧快捷入口","T0","Beta1","已有原型","/ops/tickets/:id /ops/delivery-tickets/:id /ops/support-tickets/:id","1-prd-det/运维支持后台-PRD.md","可完成、暂挂、转交并回填处理结果","客户侧快捷入口是 Beta1 重点"
"OPS-003","交付运维后台","工单流转","支持工单","客户问题处理","/","运维处理客户提交的支持类问题并同步状态","P1","Beta1.1","已有原型","/ops/support-tickets /ops/support-tickets/:id","1-prd-det/运维支持后台-PRD.md","支持工单可查看、处理和关闭","Beta1 可与交付工单共用页面"
"OPS-004","交付运维后台","客户上下文","企业管理","企业只读视图","/","运维查看企业客户、订单和开通上下文用于排查","P1","Beta1.1","已有原型","/ops/tenants /ops/tenants/:id","1-prd-det/运维支持后台-PRD.md","可从企业视角定位工单和开通状态","权限应只读为主"
"OPS-005","交付运维后台","客户上下文","订单与开通","订单进度","/","运维查看客户订单、对公状态和开通任务进度","P1","Beta1.1","已有原型","/ops/orders /ops/orders/opening-tasks","1-prd-det/运维支持后台-PRD.md","能定位订单和开通任务关联关系","Beta1 可从工单详情承接"
"OPS-006","交付运维后台","集成配置","IM 绑定","飞书企微钉钉微信","/","运维协助客户配置飞书、企微、钉钉或微信绑定","P2","Beta2","后置","/ops/im-binding /ops/im-binding/:tenantId /ops/bindings","1-prd-det/运维支持后台-PRD.md","向导、连通测试和回滚记录完整","Beta1 先隐藏独立入口"
"OPS-007","交付运维后台","网络配置","网络配置详情","公网私网配置","/","运维协助客户配置公网入口、出口和私网出口","P2","Beta2","后置","/ops/network /ops/network/:tenantId","1-prd-det/运维支持后台-PRD.md","变更前后有测试、确认和审计","高危变更后置"
"OPS-008","交付运维后台","诊断支持","客户诊断","一键诊断","/","运维对客户环境执行诊断、日志拉取和连通性测试","P2","Beta2","后置","/ops/diagnosis /ops/diagnosis/:tenantId /ops/support","1-prd-det/运维支持后台-PRD.md","诊断结果可形成处理建议或工单","依赖真实监控与日志"
"OPS-009","交付运维后台","健康巡检","巡检任务","巡检执行","/","运维查看和执行客户健康巡检任务","P2","Beta2","后置","/ops/inspection /ops/inspection/:runId","1-prd-det/运维支持后台-PRD.md","巡检任务有结果、异常和处理建议","自动巡检后置"
"OPS-010","交付运维后台","健康巡检","巡检规则","规则配置","/","运维配置健康巡检规则和自动建单规则","P2","Beta2","后置","/ops/inspection/rules","1-prd-det/运维支持后台-PRD.md","规则可启停并关联告警或工单","依赖监控规则引擎"
"OPS-011","交付运维后台","客户档案","客户运维档案","SOP 记录","/","运维沉淀客户环境、历史问题、处理记录和 SOP","P1","Beta1.1","后置","/ops/customers/:tenantId","1-prd-det/运维支持后台-PRD.md","客户档案能关联工单和配置变更","Beta1 先用工单详情承接"
"AGT-001","代理镜像站","代理工作台","管理员首页","经营概览","/","代理管理员查看客户、订单、余额、待办和经营指标","T0","Beta1","已有原型","/agent/admin","1-prd-det/代理镜像站-PRD.md","代理可看到经营概览和关键待办","当前项目已有代理入口"
"AGT-002","代理镜像站","客户管理","代理客户","客户列表","/","代理管理员查看代理名下客户和开通状态","T0","Beta1","已有原型","/agent/admin/tenants /agent/admin/tenants/:id","1-prd-det/代理镜像站-PRD.md","只能查看本代理范围客户","强制 agent_id 数据隔离"
"AGT-003","代理镜像站","订单财务","订单与账单","代理订单","/","代理管理员查看名下客户订单、付款和开通状态","T0","Beta1","已有原型","/agent/admin/orders","1-prd-det/代理镜像站-PRD.md","订单列表和详情能关联客户与销售","对公审核视角色配置"
"AGT-004","代理镜像站","订单财务","对公审核","代理对公","/","代理或平台代理财务处理代理客户对公付款审核","T0","Beta1","已有原型","/agent/admin/orders/bank-transfer-review","1-prd-det/代理镜像站-PRD.md","审核通过后能触发客户开通链路","权限边界需明确"
"AGT-005","代理镜像站","工单","交付工单","代理交付","/","代理管理员查看代理客户交付工单和支持工单","T0","Beta1","已有原型","/agent/admin/delivery-tickets /agent/admin/support-tickets","1-prd-det/代理镜像站-PRD.md","工单按代理范围隔离","可复用运维工单组件"
"AGT-006","代理镜像站","销售管理","代理销售","销售账号","/","代理管理员管理代理内部销售账号、客户归属和状态","T0","Beta1","已有原型","/agent/admin/sales /agent/admin/sales/:id","1-prd-det/代理镜像站-PRD.md","可新增、停用销售并查看名下客户","内部销售分佣另行配置"
"AGT-007","代理镜像站","线索管理","咨询留资","代理线索","/","代理管理员查看镜像站产生的咨询留资并分配销售","T0","Beta1","已有原型","/agent/admin/leads","1-prd-det/代理镜像站-PRD.md","留资进入代理范围并可分配","与官网公共池区分"
"AGT-008","代理镜像站","佣金分成","佣金规则","代理规则","/","代理管理员配置代理内部分佣或查看平台分成规则","P1","Beta1.1","已有原型","/agent/admin/commission/rules","1-prd-det/代理镜像站-PRD.md","规则可被佣金流水引用","复杂多级分佣后置"
"AGT-009","代理镜像站","佣金分成","提现流水","交易查询","/","代理管理员查看提现或分佣交易流水","P1","Beta1.1","已有原型","/agent/admin/commission/transactions","1-prd-det/代理镜像站-PRD.md","流水状态、金额和订单来源可查","提现审批需财务联动"
"AGT-010","代理镜像站","进货余额","进货与余额","代理余额","/","代理管理员查看余额、进货充值和客户开通扣减","T0","Beta1","已有原型","/agent/admin/balance","1-prd-det/代理镜像站-PRD.md","余额变动与客户开通扣减可追溯","代理特色能力"
"AGT-011","代理镜像站","站点管理","网站管理","镜像站配置","/","代理管理员维护镜像站基础信息、品牌和获客入口","P1","Beta1.1","已有原型","/agent/admin/website","1-prd-det/代理镜像站-PRD.md","镜像站配置可保存并预览","真实域名绑定后置"
"AGT-012","代理镜像站","营销工具","代金券管理","代理券","/","代理管理员发放和管理代理客户可用代金券","P1","Beta1.1","已有原型","/agent/admin/coupons /agent/admin/coupons/:couponId","1-prd-det/优惠券系统-前端Mock-PRD.md","券能按客户、金额和有效期管理","与平台券规则需统一"
"AGT-013","代理镜像站","组织权限","员工账号","代理员工","/","代理管理员管理代理员工账号和基础角色","T0","Beta1","已有原型","/agent/admin/staff","1-prd-det/代理镜像站-PRD.md","可新增员工并分配角色","权限矩阵后置"
"FIN-001","财务侧","财务工作台","仪表盘","财务待办","/","财务查看待对公复核、待开票、佣金和提现待办","P1","Beta1.1","已有原型","/finance/dashboard /agent/finance/dashboard","1-prd-det/财务佣金结算-PRD.md","财务待办能跳转到明细页面","Beta1 可先由官方后台承接"
"FIN-002","财务侧","订单财务","企业与订单","财务只读","/","财务查看企业、订单、发票和开通进度","P1","Beta1.1","已有原型","/finance/tenants /finance/orders /finance/orders/invoices","1-prd/PRD.md","财务能按订单和企业查询","数据权限应受限"
"FIN-003","财务侧","订单财务","公账汇款审核","到账确认","/","财务复核或处理公账汇款审核","P1","Beta1.1","已有原型","/finance/orders/bank-transfer-review","1-prd-det/客户开户注册与席位激活流程-PRD.md","审核结论能更新订单状态","Beta1 由官方后台先承接"
"FIN-004","财务侧","佣金结算","佣金规则","规则查看","/","财务查看或维护佣金规则","P1","Beta1.1","已有原型","/finance/commission/rules","1-prd-det/财务佣金结算-PRD.md","规则变更可追溯","角色分工待确认"
"FIN-005","财务侧","佣金结算","提现流水","提现处理","/","财务查看提现流水并处理审核状态","P1","Beta1.1","已有原型","/finance/commission/transactions /finance/commission/review","1-prd-det/财务佣金结算-PRD.md","提现记录有状态、金额和处理人","真实支付出款后置"
"FIN-006","财务侧","佣金结算","结算批次","批次管理","/","财务生成和确认佣金结算单","P1","Beta1.1","已有原型","/finance/commission/batches","1-prd-det/财务佣金结算-PRD.md","批次金额与流水可核对","首版可只读"
"API-001","API 与开放能力","API 密钥","密钥列表","Key 生命周期","/","客户管理员查看 API Key 列表、状态、创建时间和最近调用","P1","Beta1.1","已有原型","/tenant/api-keys","1-prd-det/客户侧API密钥管理台-PRD.md","列表可筛选并进行启停删除操作","外呼计费 MVP 依赖"
"API-002","API 与开放能力","API 密钥","创建密钥","权限范围","/","客户管理员创建 API Key 并设置名称、环境、权限范围和限额","P1","Beta1.1","已有原型","/tenant/api-keys","1-prd-det/客户侧API密钥管理台-PRD.md","密钥明文只展示一次并提示保存","安全策略需后端强制"
"API-003","API 与开放能力","调用记录","使用记录","请求日志","/","客户管理员查看 API 调用记录、费用、状态码和 request_id","P1","Beta1.1","待实现","/tenant/api-usage","1-prd-det/客户侧API密钥管理台-PRD.md","可按 Key、服务、时间和结果筛选","路由尚未在 appRoutes 中注册"
